Laptop Name,Laptop Link,Laptop Price,Laptop Reviews,Laptop Location
HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 16GB RAM | 512GB SSD | FHD | 14.1’INCH DISPLAY | SILVER | WIN11 PRO | REGITERED (FREE LAPTOP BAG),https://www.daraz.pk/products/hp-elitebook-840-g5-8th-generation-intel-core-i5-8250u-processor-16gb-ram-512gb-ssd-fhd-141inch-display-silver-win11-pro-regitered-free-laptop-bag-i376733666-s1862813244.html?search=1,"Rs. 94,999",-28,Free Shipping
Daraz Like New Laptops - Dell Chromebook 11 3120 -- Intel Celeron - 4GB Ram - 16GB SSD With Web Store - With Box/Bag,https://www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-11-3120-intel-celeron-4gb-ram-16gb-ssd-with-web-store-with-boxbag-i421376960-s1990002316.html?search=1,"Rs. 10,999",-1,Free Shipping
"Daraz Like New Laptops - HP ProBook 6470 , Core i5 3rd Genertion, 8GB DDR3 Ram, 128GB SSD Drive, 14.1"" Led Display, Intel HD Graphics Card",https://www.daraz.pk/products/daraz-like-new-laptops-hp-probook-6470-core-i5-3rd-genertion-8gb-ddr3-ram-128gb-ssd-drive-141-led-display-intel-hd-graphics-card-i416746763-s1978165331.html?search=1,"Rs. 24,999",-2,Pakistan
Grocery Ration Package - Pack of 8,https://www.daraz.pk/products/8-i410556875-s1963586260.html?search=1,"Rs. 9,000",,Pakistan
I3 Frist generation 4gb ram and 250gb hard disk with charger,https://www.daraz.pk/products/i3-frist-generation-4gb-ram-and-250gb-hard-disk-with-charger-i320552321-s1998973237.html?search=1,"Rs. 21,000",-8,Pakistan
Hp Elitebook 820 G3 - Core i5 6th Generation - 16GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),https://www.daraz.pk/products/hp-elitebook-820-g3-core-i5-6th-generation-16gb-ddr4-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-windows-11-licensed-i376744134-s1862845892.html?search=1,"Rs. 61,999",-15,Free Shipping
Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/lenovo-thinkpad-t470-core-i5-7th-generation-8gb-ddr4-256gb-ssd-14inch-screen-free-laptop-bag-i392480090-s1916507431.html?search=1,"Rs. 54,499",-22,Free Shipping
"MacBook Air i5 (13-inch, Early 2015) 8gb 128gb",https://www.daraz.pk/products/i5-13-2015-8gb-128gb-i369903963-s1863143859.html?search=1,"Rs. 73,000",-2,Free Shipping
Daraz Like New Laptops - Lenovo Thinkpad X230 Core i5 3rd Gen 4 GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag),https://www.daraz.pk/products/daraz-like-new-laptops-lenovo-thinkpad-x230-core-i5-3rd-gen-4-gb-ram-250-gb-125-windows-10-free-laptop-bag-i403903415-s1947631515.html?search=1,"Rs. 23,499",-7,Pakistan
"Dell Inspiron Chromebook 11 3100-11.6"" HD -Intel Celeron N4000-4GB - 32GB eMMC - Play Store - Chrome OS - Black",https://www.daraz.pk/products/11-3181-hd-116-32gb-emmc-os-i280252126-s1508230264.html?search=1,"Rs. 16,000",-26,Pakistan
"Daraz Like New Laptops - HP EliteBook 840 G3 Ultra Book, Core i5 6th generation, 8GB DDR Ram, 256GB Solid State Drive SSD, 14.1"" Led Display, Intel HD Graphics",https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g3-ultra-book-core-i5-6th-generation-8gb-ddr-ram-256gb-solid-state-drive-ssd-141-led-display-intel-hd-graphics-i351044328-s1782382586.html?search=1,"Rs. 49,999",-10,Pakistan
AppleMacBook Pro 2014 8GB 128GB SSD Core i5,https://www.daraz.pk/products/ssd-i5-8gb-2014-gb-i367413763-s1822802918.html?search=1,"Rs. 99,999",-1,Pakistan
